Clave,Fecha, Almacenamiento(hmÂ³)
PECSO,2020-01-19,2200.21
AOBSO,2020-01-19,1781.86
AGZCH,2020-01-19,78.78
ARCSO,2020-01-19,466.61
PMOSO,2020-01-19,64.48
ARLSO,2020-01-19,21.16
CHTSO,2020-01-19,13.13
IRASO,2020-01-19,1.16
IRASO,2020-01-20,1.14
CHTSO,2020-01-20,13.13
ARLSO,2020-01-20,21.27
PMOSO,2020-01-20,57.2
ARCSO,2020-01-20,463.02
AGZCH,2020-01-20,78.78
AOBSO,2020-01-20,1779.28
PECSO,2020-01-20,2201.02
LCDSO,2020-01-20,725.7
LCDSO,2020-01-21,724.93
PECSO,2020-01-21,2198.58
AOBSO,2020-01-21,1770.24
AGZCH,2020-01-21,78.72
ARCSO,2020-01-21,459.44
PMOSO,2020-01-21,56.35
ARLSO,2020-01-21,21.37
CHTSO,2020-01-21,13.1
IRASO,2020-01-21,1.13
IRASO,2020-01-22,1.13
CHTSO,2020-01-22,13.1
ARLSO,2020-01-22,21.47
PMOSO,2020-01-22,55.5
ARCSO,2020-01-22,455.45
AGZCH,2020-01-22,78.72
AOBSO,2020-01-22,1765.07
PECSO,2020-01-22,2200.21
LCDSO,2020-01-22,724.93
LCDSO,2020-01-23,724.15
PECSO,2020-01-23,2197.77
AOBSO,2020-01-23,1759.9
AGZCH,2020-01-23,78.72
ARCSO,2020-01-23,452.27
PMOSO,2020-01-23,54.65
ARLSO,2020-01-23,21.57
CHTSO,2020-01-23,13.1
IRASO,2020-01-23,1.12
IRASO,2020-01-24,1.11
CHTSO,2020-01-24,13.1
ARLSO,2020-01-24,21.57
PMOSO,2020-01-24,53.94
ARCSO,2020-01-24,448.28
AGZCH,2020-01-24,78.65
AOBSO,2020-01-24,1753.44
PECSO,2020-01-24,2197.77
LCDSO,2020-01-24,723.76
LCDSO,2020-01-25,723.37
PECSO,2020-01-25,2198.58
AOBSO,2020-01-25,1748.27
AGZCH,2020-01-25,78.65
ARCSO,2020-01-25,444.3
PMOSO,2020-01-25,53.23
ARLSO,2020-01-25,21.67
CHTSO,2020-01-25,13.07
IRASO,2020-01-25,1.1
IRASO,2020-01-26,1.06
CHTSO,2020-01-26,13.07
ARLSO,2020-01-26,21.77
PMOSO,2020-01-26,52.01
ARCSO,2020-01-26,440.71
AGZCH,2020-01-26,78.65
AOBSO,2020-01-26,1743.1
PECSO,2020-01-26,2200.21
LCDSO,2020-01-26,722.98
LCDSO,2020-01-27,722.59
PECSO,2020-01-27,2199.4
AOBSO,2020-01-27,1731.47
AGZCH,2020-01-27,78.65
ARCSO,2020-01-27,436.33
PMOSO,2020-01-27,52.01
ARLSO,2020-01-27,21.77
CHTSO,2020-01-27,13.07
IRASO,2020-01-27,1.04
IRASO,2020-01-28,1.03
CHTSO,2020-01-28,13.04
ARLSO,2020-01-28,21.98
PMOSO,2020-01-28,51.3
ARCSO,2020-01-28,431.95
AGZCH,2020-01-28,78.59
AOBSO,2020-01-28,1719.84
PECSO,2020-01-28,2198.58
LCDSO,2020-01-28,722.2
LCDSO,2020-01-29,721.81
PECSO,2020-01-29,2197.77
AOBSO,2020-01-29,1708.21
AGZCH,2020-01-29,78.59
ARCSO,2020-01-29,427.57
PMOSO,2020-01-29,50.69
ARLSO,2020-01-29,21.98
CHTSO,2020-01-29,13.04
IRASO,2020-01-29,1.02
IRASO,2020-01-30,1.0
CHTSO,2020-01-30,13.01
ARLSO,2020-01-30,21.98
PMOSO,2020-01-30,50.08
ARCSO,2020-01-30,423.1
AGZCH,2020-01-30,78.53
AOBSO,2020-01-30,1696.58
PECSO,2020-01-30,2196.15
LCDSO,2020-01-30,721.43
LCDSO,2020-01-31,721.04
PECSO,2020-01-31,2194.52
AOBSO,2020-01-31,1686.37
AGZCH,2020-01-31,78.46
ARCSO,2020-01-31,419.75
PMOSO,2020-01-31,49.37
ARLSO,2020-01-31,21.88
CHTSO,2020-01-31,12.97
IRASO,2020-01-31,0.98
IRASO,2020-02-01,0.97
CHTSO,2020-02-01,12.97
ARLSO,2020-02-01,21.88
PMOSO,2020-02-01,48.66
ARCSO,2020-02-01,415.29
AGZCH,2020-02-01,78.46
AOBSO,2020-02-01,1676.56
PECSO,2020-02-01,2195.34
LCDSO,2020-02-01,720.65
LCDSO,2020-02-02,720.26
PECSO,2020-02-02,2195.37
AOBSO,2020-02-02,1666.72
AGZCH,2020-02-02,78.46
ARCSO,2020-02-02,411.19
PMOSO,2020-02-02,47.95
ARLSO,2020-02-02,21.88
CHTSO,2020-02-02,12.94
IRASO,2020-02-02,0.95
IRASO,2020-02-03,0.93
CHTSO,2020-02-03,12.91
ARLSO,2020-02-03,21.88
PMOSO,2020-02-03,47.24
ARCSO,2020-02-03,407.47
AGZCH,2020-02-03,78.4
AOBSO,2020-02-03,1656.92
PECSO,2020-02-03,2196.96
LCDSO,2020-02-03,719.87
LCDSO,2020-02-04,719.48
PECSO,2020-02-04,2196.96
AOBSO,2020-02-04,1643.42
AGZCH,2020-02-04,78.4
ARCSO,2020-02-04,404.12
PMOSO,2020-02-04,46.53
ARLSO,2020-02-04,21.98
CHTSO,2020-02-04,12.88
IRASO,2020-02-04,0.93
IRASO,2020-02-05,0.91
CHTSO,2020-02-05,12.84
ARLSO,2020-02-05,21.98
PMOSO,2020-02-05,45.92
ARCSO,2020-02-05,400.76
AGZCH,2020-02-05,78.4
AOBSO,2020-02-05,1627.47
PECSO,2020-02-05,2196.15
LCDSO,2020-02-05,719.48
LCDSO,2020-02-06,719.09
PECSO,2020-02-06,2194.52
AOBSO,2020-02-06,1615.2
AGZCH,2020-02-06,78.33
ARCSO,2020-02-06,397.42
PMOSO,2020-02-06,45.11
ARLSO,2020-02-06,21.98
CHTSO,2020-02-06,12.84
IRASO,2020-02-06,0.89
IRASO,2020-02-07,0.87
CHTSO,2020-02-07,12.84
ARLSO,2020-02-07,21.98
PMOSO,2020-02-07,44.3
ARCSO,2020-02-07,394.45
AGZCH,2020-02-07,78.33
AOBSO,2020-02-07,1602.93
PECSO,2020-02-07,2191.27
LCDSO,2020-02-07,718.7
LCDSO,2020-02-08,718.7
PECSO,2020-02-08,2190.46
AOBSO,2020-02-08,1593.11
AGZCH,2020-02-08,78.27
ARCSO,2020-02-08,393.7
PMOSO,2020-02-08,43.54
ARLSO,2020-02-08,21.98
CHTSO,2020-02-08,12.84
IRASO,2020-02-08,0.85
IRASO,2020-02-09,0.85
CHTSO,2020-02-09,12.84
ARLSO,2020-02-09,21.98
PMOSO,2020-02-09,42.93
ARCSO,2020-02-09,392.21
AGZCH,2020-02-09,78.27
AOBSO,2020-02-09,1585.75
PECSO,2020-02-09,2189.65
LCDSO,2020-02-09,718.7
LCDSO,2020-02-10,719.09
PECSO,2020-02-10,2192.09
AOBSO,2020-02-10,1577.16
AGZCH,2020-02-10,78.27
