Clave,Fecha, Almacenamiento(hmÂ³)
LCDSO,1990/01/01,406.75
PECSO,1990/01/01,1827.08
AOBSO,1990/01/01,1193.8
AGZCH,1990/01/01,59.42
ARCSO,1990/01/01,450.37
PMOSO,1990/01/01,-
ARLSO,1990/01/01,121.3
CHTSO,1990/01/01,22.20
IRASO,1990/01/01,20.24
CHTSO,1990/01/02,22.20
ARLSO,1990/01/02,121.3
PMOSO,1990/01/02,-
ARCSO,1990/01/02,452.56
AGZCH,1990/01/02,59.42
AOBSO,1990/01/02,1194.92
PECSO,1990/01/02,1828.51
LCDSO,1990/01/02,407.25
IRASO,1990/01/02,20.24
LCDSO,1990/01/03,407.75
PECSO,1990/01/03,1840.67
AOBSO,1990/01/03,1195.84
AGZCH,1990/01/03,59.42
ARCSO,1990/01/03,454.02
PMOSO,1990/01/03,-
ARLSO,1990/01/03,121.14
CHTSO,1990/01/03,22.24
IRASO,1990/01/03,20.24
CHTSO,1990/01/04,22.28
ARLSO,1990/01/04,120.91
PMOSO,1990/01/04,-
ARCSO,1990/01/04,454.38
AGZCH,1990/01/04,59.42
AOBSO,1990/01/04,1192.17
PECSO,1990/01/04,1840.67
LCDSO,1990/01/04,409.00
IRASO,1990/01/04,20.14
LCDSO,1990/01/05,411.50
PECSO,1990/01/05,1842.09
AOBSO,1990/01/05,1189.4
AGZCH,1990/01/05,59.42
ARCSO,1990/01/05,454.02
PMOSO,1990/01/05,-
ARLSO,1990/01/05,120.91
CHTSO,1990/01/05,22.36
IRASO,1990/01/05,20.08
CHTSO,1990/01/06,22.40
ARLSO,1990/01/06,120.67
PMOSO,1990/01/06,-
ARCSO,1990/01/06,453.65
AGZCH,1990/01/06,59.42
AOBSO,1990/01/06,1184.8
PECSO,1990/01/06,1844.95
LCDSO,1990/01/06,413.00
IRASO,1990/01/06,20.05
LCDSO,1990/01/07,416.50
PECSO,1990/01/07,1847.1
AOBSO,1990/01/07,1182.96
AGZCH,1990/01/07,59.42
ARCSO,1990/01/07,453.29
PMOSO,1990/01/07,-
ARLSO,1990/01/07,120.67
CHTSO,1990/01/07,22.44
IRASO,1990/01/07,20.01
CHTSO,1990/01/08,22.52
ARLSO,1990/01/08,120.67
PMOSO,1990/01/08,-
ARCSO,1990/01/08,452.19
AGZCH,1990/01/08,59.42
AOBSO,1990/01/08,1181.12
PECSO,1990/01/08,1849.24
LCDSO,1990/01/08,414.50
IRASO,1990/01/08,19.98
LCDSO,1990/01/09,414.50
PECSO,1990/01/09,1850.68
AOBSO,1990/01/09,1177.44
AGZCH,1990/01/09,59.36
ARCSO,1990/01/09,450.01
PMOSO,1990/01/09,-
ARLSO,1990/01/09,121.43
CHTSO,1990/01/09,22.60
IRASO,1990/01/09,19.98
CHTSO,1990/01/10,22.64
ARLSO,1990/01/10,120.43
PMOSO,1990/01/10,-
ARCSO,1990/01/10,448.55
AGZCH,1990/01/10,59.36
AOBSO,1990/01/10,1173.76
PECSO,1990/01/10,1851.39
LCDSO,1990/01/10,415.00
IRASO,1990/01/10,19.95
LCDSO,1990/01/11,415.00
PECSO,1990/01/11,1851.39
AOBSO,1990/01/11,1170.08
AGZCH,1990/01/11,59.36
ARCSO,1990/01/11,446.73
PMOSO,1990/01/11,-
ARLSO,1990/01/11,119.71
CHTSO,1990/01/11,22.64
IRASO,1990/01/11,19.95
CHTSO,1990/01/12,22.60
ARLSO,1990/01/12,119.23
PMOSO,1990/01/12,-
ARCSO,1990/01/12,445.27
AGZCH,1990/01/12,59.36
AOBSO,1990/01/12,1172.72
PECSO,1990/01/12,1850.68
LCDSO,1990/01/12,417.00
IRASO,1990/01/12,19.92
LCDSO,1990/01/13,417.50
PECSO,1990/01/13,1849.96
AOBSO,1990/01/13,1155.36
AGZCH,1990/01/13,59.36
ARCSO,1990/01/13,443.45
PMOSO,1990/01/13,-
ARLSO,1990/01/13,118.99
CHTSO,1990/01/13,22.52
IRASO,1990/01/13,19.89
CHTSO,1990/01/14,22.44
ARLSO,1990/01/14,118.75
PMOSO,1990/01/14,-
ARCSO,1990/01/14,441.63
AGZCH,1990/01/14,59.36
AOBSO,1990/01/14,1148.0
PECSO,1990/01/14,1849.96
LCDSO,1990/01/14,417.50
IRASO,1990/01/14,19.82
LCDSO,1990/01/15,417.25
PECSO,1990/01/15,1850.68
AOBSO,1990/01/15,1141.44
AGZCH,1990/01/15,59.36
ARCSO,1990/01/15,438.35
PMOSO,1990/01/15,-
ARLSO,1990/01/15,118.5
CHTSO,1990/01/15,22.40
IRASO,1990/01/15,19.76
CHTSO,1990/01/16,22.36
ARLSO,1990/01/16,118.03
PMOSO,1990/01/16,-
ARCSO,1990/01/16,433.97
AGZCH,1990/01/16,59.36
AOBSO,1990/01/16,1134.06
PECSO,1990/01/16,1850.68
LCDSO,1990/01/16,417.25
IRASO,1990/01/16,19.63
LCDSO,1990/01/17,417.00
PECSO,1990/01/17,1849.24
AOBSO,1990/01/17,1127.5
AGZCH,1990/01/17,59.31
ARCSO,1990/01/17,430.33
PMOSO,1990/01/17,-
ARLSO,1990/01/17,118.75
CHTSO,1990/01/17,22.32
IRASO,1990/01/17,19.50
CHTSO,1990/01/18,22.28
ARLSO,1990/01/18,118.99
PMOSO,1990/01/18,-
ARCSO,1990/01/18,425.96
AGZCH,1990/01/18,59.31
AOBSO,1990/01/18,1112.74
PECSO,1990/01/18,1847.1
LCDSO,1990/01/18,417.00
IRASO,1990/01/18,19.41
LCDSO,1990/01/19,417.00
PECSO,1990/01/19,1839.9
AOBSO,1990/01/19,1102.8
AGZCH,1990/01/19,59.25
ARCSO,1990/01/19,421.22
PMOSO,1990/01/19,-
ARLSO,1990/01/19,118.75
CHTSO,1990/01/19,22.28
IRASO,1990/01/19,19.28
CHTSO,1990/01/20,22.28
ARLSO,1990/01/20,118.75
PMOSO,1990/01/20,-
ARCSO,1990/01/20,416.48
AGZCH,1990/01/20,59.25
AOBSO,1990/01/20,1095.05
PECSO,1990/01/20,1839.95
LCDSO,1990/01/20,416.75
IRASO,1990/01/20,19.15
LCDSO,1990/01/21,416.75
PECSO,1990/01/21,1839.95
AOBSO,1990/01/21,1087.03
AGZCH,1990/01/21,59.25
ARCSO,1990/01/21,411.75
PMOSO,1990/01/21,-
ARLSO,1990/01/21,118.51
CHTSO,1990/01/21,22.28
IRASO,1990/01/21,18.99
CHTSO,1990/01/22,22.24
ARLSO,1990/01/22,118.27
PMOSO,1990/01/22,-
ARCSO,1990/01/22,406.64
AGZCH,1990/01/22,59.20
AOBSO,1990/01/22,1075.08
PECSO,1990/01/22,1839.95
LCDSO,1990/01/22,416.75
IRASO,1990/01/22,18.77
LCDSO,1990/01/23,417.00
PECSO,1990/01/23,1840.66
AOBSO,1990/01/23,1064.26
AGZCH,1990/01/23,59.20
ARCSO,1990/01/23,401.46
PMOSO,1990/01/23,-
ARLSO,1990/01/23,118.02
CHTSO,1990/01/23,22.24
IRASO,1990/01/23,18.54
CHTSO,1990/01/24,22.20
ARLSO,1990/01/24,117.55
PMOSO,1990/01/24,-
ARCSO,1990/01/24,398.08
AGZCH,1990/01/24,59.14
AOBSO,1990/01/24,1052.08
PECSO,1990/01/24,1840.66
LCDSO,1990/01/24,417.00
IRASO,1990/01/24,18.35
LCDSO,1990/01/25,417.25
PECSO,1990/01/25,1837.81
AOBSO,1990/01/25,1039.91
AGZCH,1990/01/25,59.14
ARCSO,1990/01/25,393.78
PMOSO,1990/01/25,-
ARLSO,1990/01/25,117.33
CHTSO,1990/01/25,22.16
