Clave,Fecha, Almacenamiento(hmÂ³)
LCDSO,2010/01/01,731.15
PECSO,2010/01/01,2580.8
AOBSO,2010/01/01,2523.5
AGZCH,2010/01/01,81.66
ARCSO,2010/01/01,821.28
PMOSO,2010/01/01,3.27
ARLSO,2010/01/01,0.01
CHTSO,2010/01/01,11.28
IRASO,2010/01/01,3.79
IRASO,2010/01/02,3.77
CHTSO,2010/01/02,11.28
ARLSO,2010/01/02,0.01
PMOSO,2010/01/02,3.23
ARCSO,2010/01/02,819.51
AGZCH,2010/01/02,81.6
AOBSO,2010/01/02,2522.0
PECSO,2010/01/02,2584.8
LCDSO,2010/01/02,731.15
LCDSO,2010/01/03,731.15
PECSO,2010/01/03,2580.8
AOBSO,2010/01/03,2520.5
AGZCH,2010/01/03,81.53
ARCSO,2010/01/03,818.33
PMOSO,2010/01/03,3.23
ARLSO,2010/01/03,0.01
CHTSO,2010/01/03,11.26
IRASO,2010/01/03,3.76
IRASO,2010/01/04,3.74
CHTSO,2010/01/04,11.26
ARLSO,2010/01/04,0.01
PMOSO,2010/01/04,3.21
ARCSO,2010/01/04,817.74
AGZCH,2010/01/04,81.53
AOBSO,2010/01/04,2519.0
PECSO,2010/01/04,2582.79
LCDSO,2010/01/04,731.15
LCDSO,2010/01/05,731.15
PECSO,2010/01/05,2581.8
AOBSO,2010/01/05,2519.0
AGZCH,2010/01/05,81.47
ARCSO,2010/01/05,815.97
PMOSO,2010/01/05,3.19
ARLSO,2010/01/05,0.01
CHTSO,2010/01/05,11.24
IRASO,2010/01/05,3.73
IRASO,2010/01/06,3.71
CHTSO,2010/01/06,11.24
ARLSO,2010/01/06,0.01
PMOSO,2010/01/06,3.19
ARCSO,2010/01/06,814.2
AGZCH,2010/01/06,81.41
AOBSO,2010/01/06,2516.0
PECSO,2010/01/06,2581.8
LCDSO,2010/01/06,731.15
LCDSO,2010/01/07,731.15
PECSO,2010/01/07,2579.81
AOBSO,2010/01/07,2514.5
AGZCH,2010/01/07,81.34
ARCSO,2010/01/07,811.84
PMOSO,2010/01/07,3.17
ARLSO,2010/01/07,0.01
CHTSO,2010/01/07,11.24
IRASO,2010/01/07,3.7
IRASO,2010/01/08,3.67
CHTSO,2010/01/08,11.2
ARLSO,2010/01/08,0.01
PMOSO,2010/01/08,3.15
ARCSO,2010/01/08,810.07
AGZCH,2010/01/08,81.34
AOBSO,2010/01/08,2511.5
PECSO,2010/01/08,2573.84
LCDSO,2010/01/08,731.54
LCDSO,2010/01/09,731.54
PECSO,2010/01/09,2567.87
AOBSO,2010/01/09,2508.5
AGZCH,2010/01/09,81.28
ARCSO,2010/01/09,807.7
PMOSO,2010/01/09,3.11
ARLSO,2010/01/09,0.01
CHTSO,2010/01/09,11.18
IRASO,2010/01/09,3.63
IRASO,2010/01/10,3.61
CHTSO,2010/01/10,11.18
ARLSO,2010/01/10,0.01
PMOSO,2010/01/10,3.09
ARCSO,2010/01/10,805.93
AGZCH,2010/01/10,81.28
AOBSO,2010/01/10,2505.5
PECSO,2010/01/10,2567.87
LCDSO,2010/01/10,731.54
LCDSO,2010/01/11,731.54
PECSO,2010/01/11,2565.87
AOBSO,2010/01/11,2505.5
AGZCH,2010/01/11,81.22
ARCSO,2010/01/11,802.39
