Clave,Fecha, Almacenamiento(hmÂ³)
LCDSO,2000/01/01,292.80
PECSO,2000/01/01,1080.81
AOBSO,2000/01/01,1015.54
AGZCH,2000/01/01,61.92
ARCSO,2000/01/01,336.95
PMOSO,2000/01/01, 4.90
ARLSO,2000/01/01,1.3
CHTSO,2000/01/01,29.76
IRASO,2000/01/01,21.39
IRASO,2000/01/02,21.21
CHTSO,2000/01/02,29.76
ARLSO,2000/01/02,1.3
PMOSO,2000/01/02, 4.90
ARCSO,2000/01/02,335.72
AGZCH,2000/01/02,61.92
AOBSO,2000/01/02,1019.02
PECSO,2000/01/02,1081.31
LCDSO,2000/01/02,292.60
LCDSO,2000/01/03,292.40
PECSO,2000/01/03,1081.82
AOBSO,2000/01/03,1020.76
AGZCH,2000/01/03,61.92
ARCSO,2000/01/03,334.49
PMOSO,2000/01/03, 4.90
ARLSO,2000/01/03,1.3
CHTSO,2000/01/03,29.76
IRASO,2000/01/03,21.11
IRASO,2000/01/04,21.00
CHTSO,2000/01/04,29.76
ARLSO,2000/01/04,1.27
PMOSO,2000/01/04, 4.90
ARCSO,2000/01/04,333.27
AGZCH,2000/01/04,61.92
AOBSO,2000/01/04,1022.5
PECSO,2000/01/04,1074.24
LCDSO,2000/01/04,292.20
LCDSO,2000/01/05,292.00
PECSO,2000/01/05,1067.7
AOBSO,2000/01/05,1024.24
AGZCH,2000/01/05,61.87
ARCSO,2000/01/05,331.73
PMOSO,2000/01/05, 4.90
ARLSO,2000/01/05,1.25
CHTSO,2000/01/05,29.72
IRASO,2000/01/05,20.89
IRASO,2000/01/06,20.79
CHTSO,2000/01/06,29.72
ARLSO,2000/01/06,1.24
PMOSO,2000/01/06, 4.90
ARCSO,2000/01/06,330.5
AGZCH,2000/01/06,61.75
AOBSO,2000/01/06,1029.47
PECSO,2000/01/06,1060.19
LCDSO,2000/01/06,291.80
LCDSO,2000/01/07,291.40
PECSO,2000/01/07,1054.21
AOBSO,2000/01/07,1035.55
AGZCH,2000/01/07,61.75
ARCSO,2000/01/07,328.66
PMOSO,2000/01/07, 4.90
ARLSO,2000/01/07,1.24
CHTSO,2000/01/07,29.63
IRASO,2000/01/07,20.65
IRASO,2000/01/08,20.50
CHTSO,2000/01/08,29.63
ARLSO,2000/01/08,1.24
PMOSO,2000/01/08, 4.90
ARCSO,2000/01/08,327.12
AGZCH,2000/01/08,61.75
AOBSO,2000/01/08,1039.03
PECSO,2000/01/08,1045.28
LCDSO,2000/01/08,290.80
LCDSO,2000/01/09,290.20
PECSO,2000/01/09,1038.37
AOBSO,2000/01/09,1044.25
AGZCH,2000/01/09,61.75
ARCSO,2000/01/09,325.69
PMOSO,2000/01/09, 4.90
ARLSO,2000/01/09,1.24
CHTSO,2000/01/09,29.63
IRASO,2000/01/09,20.46
IRASO,2000/01/10,20.30
CHTSO,2000/01/10,29.54
ARLSO,2000/01/10,1.24
PMOSO,2000/01/10, 4.90
ARCSO,2000/01/10,323.9
AGZCH,2000/01/10,61.64
AOBSO,2000/01/10,1047.73
PECSO,2000/01/10,1035.92
LCDSO,2000/01/10,289.60
LCDSO,2000/01/11,289.00
PECSO,2000/01/11,1025.14
AOBSO,2000/01/11,1048.6
AGZCH,2000/01/11,61.64
ARCSO,2000/01/11,321.83
PMOSO,2000/01/11, 4.90
ARLSO,2000/01/11,1.24
CHTSO,2000/01/11,29.40
IRASO,2000/01/11,20.24
IRASO,2000/01/12,20.17
CHTSO,2000/01/12,29.31
ARLSO,2000/01/12,1.24
PMOSO,2000/01/12, 4.90
ARCSO,2000/01/12,319.78
AGZCH,2000/01/12,61.59
AOBSO,2000/01/12,1049.47
PECSO,2000/01/12,1015.9
LCDSO,2000/01/12,288.40
LCDSO,2000/01/13,288.00
PECSO,2000/01/13,1013.47
AOBSO,2000/01/13,1053.82
AGZCH,2000/01/13,61.59
ARCSO,2000/01/13,317.47
PMOSO,2000/01/13, 4.90
ARLSO,2000/01/13,1.24
CHTSO,2000/01/13,29.22
IRASO,2000/01/13,20.08
IRASO,2000/01/14,19.98
CHTSO,2000/01/14,29.14
ARLSO,2000/01/14,1.24
PMOSO,2000/01/14, 4.90
ARCSO,2000/01/14,314.0
AGZCH,2000/01/14,61.53
AOBSO,2000/01/14,1052.08
PECSO,2000/01/14,1013.47
LCDSO,2000/01/14,287.60
LCDSO,2000/01/15,287.20
PECSO,2000/01/15,1012.02
AOBSO,2000/01/15,1048.6
AGZCH,2000/01/15,61.53
ARCSO,2000/01/15,312.33
PMOSO,2000/01/15, 4.90
ARLSO,2000/01/15,1.24
CHTSO,2000/01/15,29.04
IRASO,2000/01/15,19.89
IRASO,2000/01/16,19.76
CHTSO,2000/01/16,29.04
ARLSO,2000/01/16,1.24
PMOSO,2000/01/16, 4.90
ARCSO,2000/01/16,309.77
AGZCH,2000/01/16,61.53
