Clave,Fecha, Almacenamiento(hmÂ³)
AGZCH,1980/01/19,45.87
ARCSO,1980/01/19,332.96
PMOSO,1980/01/19,-
ARLSO,1980/01/19,88.93
CHTSO,1980/01/19,31.02
IRASO,1980/01/19,19.15
ARLSO,1980/01/20,88.53
PMOSO,1980/01/20,-
ARCSO,1980/01/20,328.35
AGZCH,1980/01/20,45.87
AOBSO,1980/01/20,1443.3
PECSO,1980/01/20,1729.2
LCDSO,1980/01/20,266.00
IRASO,1980/01/20,19.06
CHTSO,1980/01/20,31.06
LCDSO,1980/01/21,265.80
PECSO,1980/01/21,1727.8
AOBSO,1980/01/21,1436.91
AGZCH,1980/01/21,45.87
ARCSO,1980/01/21,324.4
PMOSO,1980/01/21,-
ARLSO,1980/01/21,88.14
CHTSO,1980/01/21,31.06
IRASO,1980/01/21,19.02
ARLSO,1980/01/22,87.74
PMOSO,1980/01/22,-
ARCSO,1980/01/22,320.81
AGZCH,1980/01/22,45.87
AOBSO,1980/01/22,1432.79
PECSO,1980/01/22,1726.4
LCDSO,1980/01/22,265.60
IRASO,1980/01/22,18.99
CHTSO,1980/01/22,31.38
LCDSO,1980/01/23,265.20
PECSO,1980/01/23,1725.0
AOBSO,1980/01/23,1428.67
AGZCH,1980/01/23,45.69
ARCSO,1980/01/23,317.21
PMOSO,1980/01/23,-
ARLSO,1980/01/23,87.15
CHTSO,1980/01/23,31.47
IRASO,1980/01/23,18.93
ARLSO,1980/01/24,86.78
PMOSO,1980/01/24,-
ARCSO,1980/01/24,313.62
AGZCH,1980/01/24,45.69
AOBSO,1980/01/24,1422.49
PECSO,1980/01/24,1720.1
LCDSO,1980/01/24,265.40
IRASO,1980/01/24,18.86
CHTSO,1980/01/24,31.47
LCDSO,1980/01/25,265.20
PECSO,1980/01/25,1718.0
AOBSO,1980/01/25,1417.34
AGZCH,1980/01/25,45.69
ARCSO,1980/01/25,310.02
PMOSO,1980/01/25,-
ARLSO,1980/01/25,86.24
CHTSO,1980/01/25,31.42
IRASO,1980/01/25,18.74
ARLSO,1980/01/26,85.69
PMOSO,1980/01/26,-
ARCSO,1980/01/26,306.17
AGZCH,1980/01/26,45.69
AOBSO,1980/01/26,1413.22
PECSO,1980/01/26,1715.9
LCDSO,1980/01/26,265.20
IRASO,1980/01/26,18.67
CHTSO,1980/01/26,31.42
LCDSO,1980/01/27,264.80
PECSO,1980/01/27,1714.5
AOBSO,1980/01/27,1409.1
AGZCH,1980/01/27,45.69
ARCSO,1980/01/27,302.32
PMOSO,1980/01/27,-
ARLSO,1980/01/27,85.14
CHTSO,1980/01/27,31.42
IRASO,1980/01/27,18.51
ARLSO,1980/01/28,84.6
PMOSO,1980/01/28,-
ARCSO,1980/01/28,298.72
AGZCH,1980/01/28,45.64
AOBSO,1980/01/28,1402.92
PECSO,1980/01/28,1712.4
LCDSO,1980/01/28,263.80
IRASO,1980/01/28,18.42
CHTSO,1980/01/28,31.38
LCDSO,1980/01/29,263.80
PECSO,1980/01/29,1706.8
AOBSO,1980/01/29,1396.74
AGZCH,1980/01/29,45.59
ARCSO,1980/01/29,295.13
PMOSO,1980/01/29,-
ARLSO,1980/01/29,84.05
CHTSO,1980/01/29,31.33
IRASO,1980/01/29,18.38
ARLSO,1980/01/30,83.51
PMOSO,1980/01/30,-
