Clave,Fecha, Almacenamiento(hmÂ³)
LCDSO,1941/07/01, 0.13
CHTSO,1941/07/01,-
CHTSO,1941/07/02,-
LCDSO,1941/07/02, 0.15
LCDSO,1941/07/03, 0.16
CHTSO,1941/07/03,-
CHTSO,1941/07/04,-
LCDSO,1941/07/04, 0.16
LCDSO,1941/07/05, 0.15
CHTSO,1941/07/05,-
CHTSO,1941/07/06,-
LCDSO,1941/07/06, 0.19
LCDSO,1941/07/07, 0.22
CHTSO,1941/07/07,-
CHTSO,1941/07/08,-
LCDSO,1941/07/08, 0.26
LCDSO,1941/07/09, 0.28
CHTSO,1941/07/09,-
CHTSO,1941/07/10,-
LCDSO,1941/07/10, 0.23
LCDSO,1941/07/11, 0.22
CHTSO,1941/07/11,-
CHTSO,1941/07/12,-
LCDSO,1941/07/12, 0.22
LCDSO,1941/07/13, 0.27
CHTSO,1941/07/13,-
CHTSO,1941/07/14,-
LCDSO,1941/07/14, 0.30
LCDSO,1941/07/15, 0.23
CHTSO,1941/07/15,-
CHTSO,1941/07/16,-
LCDSO,1941/07/16, 0.21
LCDSO,1941/07/17, 0.29
CHTSO,1941/07/17,-
CHTSO,1941/07/18,-
LCDSO,1941/07/18, 0.36
LCDSO,1941/07/19, 0.91
CHTSO,1941/07/19,-
CHTSO,1941/07/20,-
LCDSO,1941/07/20, 1.48
LCDSO,1941/07/21, 3.59
CHTSO,1941/07/21,-
CHTSO,1941/07/22,-
LCDSO,1941/07/22, 7.30
LCDSO,1941/07/23, 9.09
CHTSO,1941/07/23,-
CHTSO,1941/07/24,-
LCDSO,1941/07/24,13.80
LCDSO,1941/07/25,16.64
CHTSO,1941/07/25,-
CHTSO,1941/07/26,-
LCDSO,1941/07/26,18.38
LCDSO,1941/07/27,19.62
CHTSO,1941/07/27,-
CHTSO,1941/07/28,-
LCDSO,1941/07/28,21.12
LCDSO,1941/07/29,21.88
CHTSO,1941/07/29,-
CHTSO,1941/07/30,-
LCDSO,1941/07/30,22.52
LCDSO,1941/07/31,23.52
CHTSO,1941/07/31,-
CHTSO,1941/08/01,-
LCDSO,1941/08/01,25.12
LCDSO,1941/08/02,25.80
CHTSO,1941/08/02,-
CHTSO,1941/08/03,-
LCDSO,1941/08/03,27.44
LCDSO,1941/08/04,29.00
CHTSO,1941/08/04,-
CHTSO,1941/08/05,-
LCDSO,1941/08/05,30.25
LCDSO,1941/08/06,31.60
CHTSO,1941/08/06,-
CHTSO,1941/08/07,-
LCDSO,1941/08/07,33.10
LCDSO,1941/08/08,34.00
CHTSO,1941/08/08,-
CHTSO,1941/08/09,-
LCDSO,1941/08/09,35.85
LCDSO,1941/08/10,45.98
CHTSO,1941/08/10,-
CHTSO,1941/08/11,-
LCDSO,1941/08/11,48.38
LCDSO,1941/08/12,49.70
CHTSO,1941/08/12,-
CHTSO,1941/08/13,-
LCDSO,1941/08/13,50.75
LCDSO,1941/08/14,51.65
CHTSO,1941/08/14,-
CHTSO,1941/08/15,-
LCDSO,1941/08/15,53.37
LCDSO,1941/08/16,58.62
CHTSO,1941/08/16,-
CHTSO,1941/08/17,-
LCDSO,1941/08/17,61.70
LCDSO,1941/08/18,66.26
CHTSO,1941/08/18,-
CHTSO,1941/08/19,-
