Clave,Fecha, Almacenamiento(hmÂ³)
LCDSO,1970/01/01,212.50
PECSO,1970/01/01,2051.47
AOBSO,1970/01/01,2535.5
AGZCH,1970/01/01,65.09
ARCSO,1970/01/01,546.97
PMOSO,1970/01/01,-
ARLSO,1970/01/01,70.08
CHTSO,1970/01/01,37.45
IRASO,1970/01/01,-
PMOSO,1970/01/02,-
ARCSO,1970/01/02,546.57
AGZCH,1970/01/02,65.04
AOBSO,1970/01/02,2534.0
PECSO,1970/01/02,2049.81
LCDSO,1970/01/02,213.20
IRASO,1970/01/02,-
CHTSO,1970/01/02,37.45
ARLSO,1970/01/02,69.91
LCDSO,1970/01/03,213.55
PECSO,1970/01/03,2048.98
AOBSO,1970/01/03,2534.0
AGZCH,1970/01/03,65.04
ARCSO,1970/01/03,546.57
PMOSO,1970/01/03,-
ARLSO,1970/01/03,69.91
CHTSO,1970/01/03,37.50
IRASO,1970/01/03,-
PMOSO,1970/01/04,-
ARCSO,1970/01/04,546.16
AGZCH,1970/01/04,64.98
AOBSO,1970/01/04,2532.5
PECSO,1970/01/04,2043.33
LCDSO,1970/01/04,214.25
IRASO,1970/01/04,-
CHTSO,1970/01/04,37.50
ARLSO,1970/01/04,69.75
LCDSO,1970/01/05,214.25
PECSO,1970/01/05,2040.65
AOBSO,1970/01/05,2528.0
AGZCH,1970/01/05,64.98
ARCSO,1970/01/05,543.74
PMOSO,1970/01/05,-
ARLSO,1970/01/05,69.61
CHTSO,1970/01/05,37.55
IRASO,1970/01/05,-
PMOSO,1970/01/06,-
ARCSO,1970/01/06,541.32
AGZCH,1970/01/06,64.98
AOBSO,1970/01/06,2522.0
PECSO,1970/01/06,2037.3
LCDSO,1970/01/06,214.25
IRASO,1970/01/06,-
CHTSO,1970/01/06,37.55
ARLSO,1970/01/06,69.47
LCDSO,1970/01/07,214.42
PECSO,1970/01/07,2035.96
AOBSO,1970/01/07,2516.0
AGZCH,1970/01/07,64.93
ARCSO,1970/01/07,539.3
PMOSO,1970/01/07,-
ARLSO,1970/01/07,69.33
CHTSO,1970/01/07,37.55
IRASO,1970/01/07,-
PMOSO,1970/01/08,-
ARCSO,1970/01/08,536.88
AGZCH,1970/01/08,64.93
AOBSO,1970/01/08,2510.0
PECSO,1970/01/08,2033.95
LCDSO,1970/01/08,214.42
IRASO,1970/01/08,-
CHTSO,1970/01/08,37.55
ARLSO,1970/01/08,69.18
LCDSO,1970/01/09,214.42
PECSO,1970/01/09,2031.27
AOBSO,1970/01/09,2502.5
AGZCH,1970/01/09,64.93
ARCSO,1970/01/09,534.46
PMOSO,1970/01/09,-
ARLSO,1970/01/09,69.04
CHTSO,1970/01/09,37.50
IRASO,1970/01/09,-
PMOSO,1970/01/10,-
ARCSO,1970/01/10,531.63
AGZCH,1970/01/10,64.88
AOBSO,1970/01/10,2495.0
PECSO,1970/01/10,2029.93
LCDSO,1970/01/10,214.42
IRASO,1970/01/10,-
CHTSO,1970/01/10,37.50
ARLSO,1970/01/10,68.9
LCDSO,1970/01/11,215.12
PECSO,1970/01/11,2025.24
AOBSO,1970/01/11,2489.0
AGZCH,1970/01/11,64.88
ARCSO,1970/01/11,528.41
PMOSO,1970/01/11,-
ARLSO,1970/01/11,68.62
CHTSO,1970/01/11,37.50
IRASO,1970/01/11,-
PMOSO,1970/01/12,-
ARCSO,1970/01/12,524.77
AGZCH,1970/01/12,64.82
AOBSO,1970/01/12,2481.5
PECSO,1970/01/12,2021.89
LCDSO,1970/01/12,215.82
IRASO,1970/01/12,-
CHTSO,1970/01/12,37.45
ARLSO,1970/01/12,68.34
LCDSO,1970/01/13,216.87
PECSO,1970/01/13,2018.54
AOBSO,1970/01/13,2478.5
AGZCH,1970/01/13,64.82
ARCSO,1970/01/13,521.54
PMOSO,1970/01/13,-
ARLSO,1970/01/13,68.06
CHTSO,1970/01/13,37.45
IRASO,1970/01/13,-
PMOSO,1970/01/14,-
ARCSO,1970/01/14,517.91
AGZCH,1970/01/14,64.77
AOBSO,1970/01/14,2474.0
PECSO,1970/01/14,2013.85
LCDSO,1970/01/14,217.75
IRASO,1970/01/14,-
CHTSO,1970/01/14,37.60
ARLSO,1970/01/14,67.77
