Clave,Fecha, Almacenamiento(hmÂ³)
LCDSO,1950/01/01,849.25
ARLSO,1950/01/01,50.19
CHTSO,1950/01/01,-
CHTSO,1950/01/02,-
ARLSO,1950/01/02,49.96
LCDSO,1950/01/02,848.50
LCDSO,1950/01/03,847.75
ARLSO,1950/01/03,49.73
CHTSO,1950/01/03,-
CHTSO,1950/01/04,-
ARLSO,1950/01/04,49.5
LCDSO,1950/01/04,847.00
LCDSO,1950/01/05,846.62
ARLSO,1950/01/05,49.16
CHTSO,1950/01/05,-
CHTSO,1950/01/06,-
ARLSO,1950/01/06,48.81
LCDSO,1950/01/06,846.62
LCDSO,1950/01/07,846.62
ARLSO,1950/01/07,48.58
CHTSO,1950/01/07,-
CHTSO,1950/01/08,-
ARLSO,1950/01/08,48.35
LCDSO,1950/01/08,846.62
LCDSO,1950/01/09,846.62
ARLSO,1950/01/09,48.01
CHTSO,1950/01/09,-
CHTSO,1950/01/10,-
ARLSO,1950/01/10,47.67
LCDSO,1950/01/10,847.00
LCDSO,1950/01/11,848.12
ARLSO,1950/01/11,47.32
CHTSO,1950/01/11,-
CHTSO,1950/01/12,-
ARLSO,1950/01/12,47.1
LCDSO,1950/01/12,849.62
LCDSO,1950/01/13,850.75
ARLSO,1950/01/13,46.87
CHTSO,1950/01/13,-
CHTSO,1950/01/14,-
ARLSO,1950/01/14,46.52
LCDSO,1950/01/14,888.25
LCDSO,1950/01/15,898.00
ARLSO,1950/01/15,46.2
CHTSO,1950/01/15,-
CHTSO,1950/01/16,-
ARLSO,1950/01/16,45.88
LCDSO,1950/01/16,902.12
LCDSO,1950/01/17,904.75
ARLSO,1950/01/17,45.56
CHTSO,1950/01/17,-
CHTSO,1950/01/18,-
ARLSO,1950/01/18,45.24
LCDSO,1950/01/18,903.62
LCDSO,1950/01/19,902.50
ARLSO,1950/01/19,44.92
CHTSO,1950/01/19,-
CHTSO,1950/01/20,-
ARLSO,1950/01/20,44.61
LCDSO,1950/01/20,901.75
LCDSO,1950/01/21,901.00
ARLSO,1950/01/21,44.29
CHTSO,1950/01/21,-
CHTSO,1950/01/22,-
ARLSO,1950/01/22,44.08
LCDSO,1950/01/22,899.12
LCDSO,1950/01/23,897.25
ARLSO,1950/01/23,43.78
CHTSO,1950/01/23,-
CHTSO,1950/01/24,-
ARLSO,1950/01/24,43.57
LCDSO,1950/01/24,895.37
LCDSO,1950/01/25,893.87
ARLSO,1950/01/25,43.27
CHTSO,1950/01/25,-
CHTSO,1950/01/26,-
ARLSO,1950/01/26,42.96
LCDSO,1950/01/26,892.37
LCDSO,1950/01/27,890.87
ARLSO,1950/01/27,42.66
CHTSO,1950/01/27,-
CHTSO,1950/01/28,-
ARLSO,1950/01/28,42.35
LCDSO,1950/01/28,889.75
LCDSO,1950/01/29,888.62
ARLSO,1950/01/29,42.05
